ID	ENGLISH	SPANISH	PORTUGUESE	NOTES	SIMPLIFIED	SEMANTIC FIELD	SENSORY CATEGORY
459	turning off of lights or motors	motor o luz apagándose			turn off	Basic actions and technology	VISUAL, AUDITORY
460	single booms of thunder	truenos individuales			thunder	The physical world	AUDITORY
461	rumbling thunder	retumbar de varios truenos			thunder	The physical world	AUDITORY
462	sound of lightning peels [sic]	sonido de relámpago			lightning	The physical world	AUDITORY
463	flashes of light	destellos de luz			flash of light	The physical world	VISUAL
464	wind	viento			wind	The physical world	AUDITORY
465	spraying of aerosol cans, fizzing of shaken carbonated drinks	pulverizador rociando, burbujeo de una gaseosa que ha sido agitada			hissing noise	The physical world	AUDITORY
466	non-stop rain	lluvia que no para			rain	The physical world	AUDITORY, VISUAL
467	fall on rocks	caer sobre piedras			fall on rocks	Motion	AUDITORY, VISUAL
468	to vanish, birds and planes quickly pulling out of nose dives, gusts of wind	desvanecerse, aves y aviones saliéndose rápidamente de una caída en picada, ráfagas de viento			wind, sudden movement in mid flight	Motion	VISUAL, AUDITORY
469	tremble	temblar			tremble	Motion	VISUAL
470	fall over	caerse			fall over	Motion	VISUAL
471	fall far	sufrir una caída larga			fall far	Motion	VISUAL
472	jump into undergrowth	saltar en la maleza/matorrales			jump into undergrowth	Agriculture and vegetation, Motion	VISUAL, AUDITORY
473	hit with blunt object	golpe con un objeto contundente			hit with blunt object	Basic actions and technology	AUDITORY
474	cry of nightjar	sonido del chotacabras (especie de ave)			bird species	Animals	AUDITORY
475	cry of smooth-billed ani	sonido del garrapatero de pico liso (especie de ave)			bird species	Animals	AUDITORY
476	cry of squirrel cuckoo	sonido de cuco ardilla (especie de ave)			bird species	Animals	AUDITORY
477	cry of any small bird	sonido de cualquier ave pequeña			small bird	Animals	AUDITORY
478	cry of duck	sonido del pato			duck	Animals	AUDITORY
479	cry of dog	sonido del perro			dog	Animals	AUDITORY
480	cry of pig	sonido del chancho			pig	Animals	AUDITORY
481	cry of cow	sonido de la vaca			cow	Animals	AUDITORY
482	cry of anteater	sonido del oso hormiguero			anteater	Animals	AUDITORY
483	cry of capuchin monkey	sonido del mono capuchino			capuchin monkey	Animals	AUDITORY
484	cry of peccary	sonido del pecarí			peccary	Animals	AUDITORY
485	sound of vegetation moving	sonido de la vegetación moviéndose			moving vegetation	Agriculture and vegetation, Motion	AUDITORY
486	sound of leaf falling	sonido de hoja cayendo			leaf falling	Agriculture and vegetation, Motion	AUDITORY, VISUAL
487	sound of liana being pulled up	sonido de la liana cuando la jalan			pulling liana	Agriculture and vegetation	AUDITORY, VISUAL
488	sound of stick breaking	sonido de una rama o palito rompiéndose			stick breaking	Agriculture and vegetation	AUDITORY
489	sound of bone breaking	sonido de un hueso rompiéndose			bone breaking	The body	AUDITORY
490	sound of water boiling	sonido de agua hirviendo			boiling	Food and drink	VISUAL, AUDITORY
491	sound of something falling in water	sonido de algo cayendo en el agua			falling in water	Motion	VISUAL, AUDITORY
492	sound of shooting arrow	sonido de disparo de flecha			shoot an arrow	Warfare and hunting	AUDITORY, VISUAL
493	sound of shooting gun	sonido de disparo de arma de fuego			gunshot	Warfare and hunting	AUDITORY
494	sound of person falling on the ground	sonido de una persona cayendo al suelo			fall to the ground	Motion	VISUAL, AUDITORY
495	sound of animal moving inside a hole	sonido de un animal moviéndose dentro de un hueco			move inside a hole	Animals	VISUAL, AUDITORY
496	sound of animal suddenly running	sonido de un animal corriendo de repente			suddenly running	Animals	VISUAL, AUDITORY
497	sound of action of grabbing	sonido de la acción de agarrar			to grab	Basic actions and technology	VISUAL
498	a sudden surprising entrance into a place	una entrada repentina y sorpresiva en un lugar			sudden entrance	Motion	VISUAL
499	sound the water makes when thrown away	sonido que hace el agua cuando la botan			throw water	The physical world	AUDITORY, VISUAL
500	sound that solid things make when fell down or when someone hits them (e.g., to open a coconut)	sonido que hacen las cosas sólidas al caer o cuando alguien las golpea (p. ej., abrir un coco)			hitting solid object	Basic actions and technology	AUDITORY
501	total silence	silencio total			silence	Sense perception	AUDITORY
502	expresses nervousness	expresa nerviosismo			nervousness	Emotion and values	INTERNAL STATE
503	pushing something away	alejar algo empujándolo			to push away	Motion	VISUAL
504	sounds when cutting wood	sonido al cortar madera			to cut wood	Basic actions and technology	AUDITORY
505	when something submerges into the water	caundo algo se sumerge en el agua			submerge into water	Motion	VISUAL, AUDITORY
506	opening/cutting something soft (e.g., fish)	abrir o cortar algo suave (p. ej., pescado)			cutting soft object	Basic actions and technology	AUDITORY
507	quickly cutting something hard (e.g., liana)	cortar rapidamente algo duro (p. ej., liana)			cutting hard object	Basic actions and technology	AUDITORY
508	sound of a small drum	sonido de tambor pequeño			small drum	Basic actions and technology	AUDITORY
509	when someone trips and falls down	cuando alguien se tropieza y se cae			tripping and falling down	Motion	AUDITORY, VISUAL
510	sound of sneezing	sonido de estornudo			sneeze	The body	AUDITORY
511	sound made by a boa	sonido que hace la boa			boa	Animals	AUDITORY
512		sonido de pollito			chick	Animals	AUDITORY
513		hacer burbujear, sonar al burbujear en el agua			bubbling	The physical world	AUDITORY
514		sonido de hundimiento en el agua, de burbujeo			sinking in water	The physical world	AUDITORY
515		sonido al caminar			walking	Motion	AUDITORY, VISUAL
516		sonido del corte que se asienta			cut	Basic actions and technology	AUDITORY
517		sonido de corte			cut	Basic actions and technology	AUDITORY
518		trac, trac, sonido que se produce al cortar			cut	Basic actions and technology	AUDITORY
519		sonido "pon" al caer			falling	Motion	AUDITORY, VISUAL
520		sonido de patada			kick	Basic actions and technology	AUDITORY
521		sonido al arrojar algo			throw	Motion	AUDITORY, VISUAL
522		ruido motor			engine	Basic actions and technology	AUDITORY
523		sonido de un golpe, por ejemplo al cortar palos de leña			strike or blow	Basic actions and technology	AUDITORY
524		shaaa, sonido al derramar cualquier cosa seca como harinas o varios granos en un envase, movimiento de las ramas			pouring dry substance into a container	Motion	AUDITORY, VISUAL
525		sonido al escurrir la flema			phlegm	The body	AUDITORY
526		sonido de jalar fibras, resbalar algo			pulling fibers	Motion	VISUAL, AUDITORY
527		sonido que se produce cuando una persona cae al agua			fall into water	Motion	AUDITORY, VISUAL
528		sonido de la corriente de agua y del viento			water current, wind	The physical world	AUDITORY
529		sonido de nadar/bañarse		Transcripción: [tsoopo]	swimming	Motion	AUDITORY
530	swish	silbido (sonido sibilante)			swish	Sense perception	AUDITORY
531	denotes a very small fish swarming in large numbers	denota un pez muy pequeño en su cardumen			school of fish	Animals	VISUAL
532	the flash of the flying arrow	el destellar de una flecha en movimiento			arrow	Warfare and hunting	VISUAL
533	twig cracking noise	ruido de ramas crujiendo			twigs cracking	Agriculture and vegetation	AUDITORY
534	voice of the jaguar	sonido del jaguar			jaguar	Animals	AUDITORY
535	departing	marcharse			to depart	Motion	VISUAL
536	licking with tongue	lamer con la lengua			to lick	The body	GUSTATORY
537	flaming of fire	fuego llameando			fire	The physical world	VISUAL
538	water smashing against boat in rapids	agua chocando contra el bote en los rápidos			water smashing against boat	The physical world	AUDITORY
539	climbing	trepar			climbing	Motion	VISUAL
540	hitting with blunt instrument	golpear con instrumento contundente			hitting with blunt instrument	Basic actions and technology	AUDITORY
541	kicking, hitting something solid (like canoe hitting rock, arrow hitting target)	patear, golpear algo sólido (como la canoa que golpea una roca, la flecha que da en el objetivo)			hitting solid object	Basic actions and technology	AUDITORY
542	cessation of action or talk, silence, stopping to look around	dejar de hacer o hablar, silencio, detenerse a mirar			to stop action	Motion	AUDITORY, VISUAL
543	collapsing	calapsar			collapsing	Basic actions and technology	VISUAL
544	touching	tocar			touching	Sense perception	TACTILE
545	sitting down	sentarse			sitting down	Basic actions and technology	VISUAL
546	approaching	acercarse			approaching	Motion	VISUAL
547	coming out, emerging into the open	salir			coming out	Motion	VISUAL
548	splitting wood	partir madera			splitting wood	Basic actions and technology	AUDITORY
549	being hurled through the air	ser lanzado por el aire			being hurled through the air	Motion	VISUAL
550	breaking (of tooth, bone, etc.)	romperse (un diente, un hueso, etc.)			hard object breaking	Basic actions and technology	AUDITORY
551	passing through a narrow passage (e.g. trail in forest)	pasar por un pasaje estrecho (p. e.j., un camino en el bosque)			passing through	Motion	VISUAL
552	sucking by shaman in healing rite	succión del chamán en un rito de curación			shaman sucking	Religion and belief	AUDITORY
553	paddling	remar			paddling	Basic actions and technology	VISUAL, AUDITORY
554	blowing, breathing out heavily	soplar, exhalar con fuerza			blowing	The body	AUDITORY
555	buzzing of flies	zumbido de moscas		El último elemento de la reduplicación aparece sin consonante final.	flies buzzing	Animals	AUDITORY
556	shooting (shotgun)	disparar (arma de fuego)			shotgun	Warfare and hunting	AUDITORY
557	giving birth, i.e. child emerging from womb	dar a luz, es decir, emerger el bebé del útero			giving birth	The body	VISUAL
558	bubbling of water (in river or when boiling)	burbujeo del agua (del río o al hervirse)		El último elemento de la reduplicación aparece sin consonante final.	bubbling	The physical world	AUDITORY
559	blowing tobaco smoke	soplar humo del tabaco			blowing tobaco smoke	Basic actions and technology	AUDITORY
560	whirring of wings of the hummingbird	zumbido de alas del colibrí		"p" is a trilled bilabial plosive	whirring of wings of the hummingbird	Animals	VISUAL, AUDITORY
561	fast movement, as when chasing someone	movimiento rápido, como cuando se persigue a alguien		"p" is a trilled bilabial plosive	fast movement	Motion	VISUAL
562	rising up, climbing out of boat	subir, salirse de un bote			rising up	Motion	VISUAL
563	stepping, walking, running	pisar, caminar, correr		El último elemento de la reduplicación aparece sin consonante final.	to take steps	Motion	VISUAL, AUDITORY
564	sharpening (knife or stone), planing	afilar (cuchillo o piedra), cepillar madera			sharpening	Basic actions and technology	VISUAL, AUDITORY
565	washing (clothes or body)	lavar (la ropa o el cuerpo)			washing	Clothing and grooming	AUDITORY, VISUAL
566	dragging, sliding	arrastrar, deslizarse			dragging, sliding	Motion	VISUAL, AUDITORY
567	pulling in fishing line	jalar el hilo de pescar			pulling in fishing line	Basic actions and technology	VISUAL
568	buring a hole in	hacer/performar un agujero en			make a hole	Basic actions and technology	VISUAL, AUDITORY
569	burning	quemar/arder			burning	Basic actions and technology	VISUAL
570	cutting up flesh	cortar carne			cutting up flesh	Basic actions and technology	AUDITORY
571	swimming	nadar		El último elemento de la reduplicación aparece sin consonante final.	swimming	Motion	AUDITORY, VISUAL
572	pulling out (e.g. a stick from the ground)	sacar jalando (p. ej., un palo del suelo)			pulling out	Motion	VISUAL
573	shaking loose	quitar algo a sacudidas		El último elemento de la reduplicación aparece sin consonante final.	shaking loose	Basic actions and technology	VISUAL
574	pushing	empujar			pushing	Motion	VISUAL
575	laying down	echarse			laying down	Basic actions and technology	VISUAL
576	cracking open (e.g. Brazil nuts)	abrir rompiendo (p. ej., nueces de Brasil)			cracking open	Basic actions and technology	AUDITORY, VISUAL
577	grasping hold of	agarrar			grabbing	Basic actions and technology	VISUAL
578	standing, reaching up	estar de pie, alcanzar			standing, reaching up	Basic actions and technology	VISUAL
579	tottering steps	pasos vacilantes			tottering steps	Motion	VISUAL
580	spitting	escupir			spitting	The body	AUDITORY
581	cutting (with scissors, knife, etc.)	cortar (con tijeras, cuchillo, etc.)			cutting	Basic actions and technology	AUDITORY
582	canoe pulling in to river bank	jalar la canoa a la orilla del rio			pulling canoe to river bank	Basic actions and technology	VISUAL
583	picking fruit from tree	sacar fruta de un árbol			picking fruit from tree	Agriculture and vegetation, Food and drink	VISUAL, AUDITORY
584	piercing	perforar			piercing	Basic actions and technology	VISUAL, AUDITORY
585	hitting and killing (an animal) with a club or the like	golpear y matar (a un animal) con un palo o algo parecido			hitting with a club	Warfare and hunting	AUDITORY, VISUAL
586	shaking the head	sacudir la cabeza de lado a lado			shaking the head	The body, Motion	VISUAL
587	falling and collapsing on the ground, eather seated or prostrate	caer y colapsar en el piso, sentado o postrado		Secuencia de ideófonos	falling and collapsing on the ground	Motion	VISUAL
588	falling and going full length (e.g. a tree, or a person tripping on the trail)	caer y quedar horizontal (p. ej., un árbol, o una persona que se tropieza en el camino)		Secuencia de ideófonos	falling and falling horizontally	Motion	VISUAL
589	falling and hitting the ground (something thrown)	caer y golpear el piso (algo que es lanzado)		Secuencia de ideófonos	something thrown hitting the ground	Motion	VISUAL, AUDITORY
590	climbing, then descending	trepar y después bajar		Secuencia de ideófonos	climbing up and down	Motion	VISUAL
591	grasping hold of something and taking it away	agarrar algo y llevárselo		Secuencia de ideófonos	grab and take away	Basic actions and technology	VISUAL
592	grasping hold of something and dragging it away	agarrar algo y llevárselo arrastrando		Secuencia de ideófonos	grab and drag away	Basic actions and technology	VISUAL, AUDITORY
593	embracing and kissing	abrazar y besar		Secuencia de ideófonos	embracing and kissing	Basic actions and technology	VISUAL, AUDITORY
594	reaching up and picking fruit from tree	alcanzar y sacar una fruta de un árbol		Secuencia de ideófonos. El último elemento de la reduplicación aparece sin consonante final.	reaching up and picking fruit from tree	Agriculture and vegetation, Food and drink	VISUAL, AUDITORY
595	(palm tree) falling to ground, pushing and picking it up, then throwing it	(palmera) cayendo al piso, empujándola y levantándola, y luego lanzándola		Secuencia de ideófonos	tree falling and being carried away	Motion	VISUAL, AUDITORY
596	with no breath	sin aliento		Semantic field: Actions/Movements	out of breath	The body	?
597	pulling off a leaf	arrancar una hoja		Semantic field: Actions/Movements	pulling off leaf	Agriculture and vegetation	VISUAL, AUDITORY
598	hit suddenly (in just one blow)	golpear de repente		Semantic field: Actions/Movements	hit suddenly	Basic actions and technology	AUDITORY
599	spitting	escupir		Semantic field: Actions/Movements	spitting	The body	AUDITORY
600	animal or human pack running	grupo de animales o personas corriendo		Semantic field: Actions/Movements	group running	Motion, Quantity	VISUAL, AUDITORY
601	moving without stopping in a reduced area	moverse sin detenerse en una área reducida		Semantic field: Actions/Movements	moving within a reduced area	Motion	VISUAL
602	sound of applauding or breaking (ceramics, hard-shell fruits, etc.)	sonido de aplaudir o romper (cerámicas, frutos de cáscara dura, etc.)		Semantic field: Actions/Movements	clapping, breaking	Basic actions and technology	AUDITORY
603	throwing a stone or a small projectile quickly, jump	lanzar una piedra o algo pequeño rápidamente, saltar		Semantic field: Actions/Movements	throw small object, jump	Motion	VISUAL
604	making somenthing disappear quickly	hacer que algo desaparezca rápidamente		Semantic field: Actions/Movements	disappear	Basic actions and technology	?
605	cutting with machete	cortar con machete		Semantic field: Actions/Movements	cutting with machete	Basic actions and technology	AUDITORY
606	grabbing forcefully or suddenly	agarrar con fuerza o súbitamente		Semantic field: Actions/Movements	grabbing	Basic actions and technology	VISUAL
607	tearing a piece of cloth	desgarrar una tela		Semantic field: Actions/Movements	tearing a piece of cloth	Basic actions and technology	AUDITORY
608	driving something (e.g. a spear) into the soil	meter algo (p. ej., una lanza) en el suelo		Semantic field: Actions/Movements	driving something into the soil	Basic actions and technology	VISUAL, AUDITORY
609	pulling off a palm leaf	arrancar una hoja de palmera		Semantic field: Actions/Movements	pulling off a palm leaf	Agriculture and vegetation	AUDITORY
610	swimming (also applies to fish and other animals like river otter, capibara, etc.)	nadar (también se aplica a peces y otros animales como nutria, capibara, etc.)		Semantic field: Actions/Movements	swimming	Motion	VISUAL, AUDITORY
611	shinning, blazzing	brillar, resplandecer		Semantic field: Sensorial (not including sound)	shining	Sense perception	VISUAL
612	smell of blood	olor a sangre		Semantic field: Sensorial (not including sound)	smell of blood	Sense perception	OLFACTORY
613	soft	suave		Semantic field: Sensorial (not including sound)	soft	Sense perception	TACTILE
614	pain in some body part or bone	dolor en una parte del cuerpo o hueso		Semantic field: Sensorial (not including sound)	pain	The body	INTERNAL STATE
615	sneezing	estornudar		Semantic field: Human or body sounds	sneeze	The body	AUDITORY
616	farting	tirarse un pedo		Semantic field: Human or body sounds	fart	The body	AUDITORY
617	noise of women or children talking	ruido de mujeres o niños hablando		Semantic field: Human or body sounds	woman or child talking	Speech and language	AUDITORY
618	noise of adult man yelling	ruido de hombres gritando		Semantic field: Human or body sounds	man yelling	Speech and language	AUDITORY
619	noise of adult men talking	ruido de hombre hablando		Semantic field: Human or body sounds	man talking	Speech and language	AUDITORY
620	butterfles flying	mariposas volando		Semantic field: Animal and nature actions	butterfly flying	Animals	VISUAL
621	sound of peccaries eating	sonido de pecaríes comiendo		Semantic field: Animal and nature actions	peccary eating	Animals	AUDITORY
622	sound of river waves	sonido de olas del río		Semantic field: Animal and nature actions	waves	The physical world	AUDITORY
623	sound of snake slithering	sonido de serpiente deslizándose		Semantic field: Animal and nature actions	slithering	Animals	VISUAL, AUDITORY
624	rocks falling from a cliff	rocas cayendo de un acantilado		Semantic field: Animal and nature actions	rocks falling	The physical world	VISUAL, AUDITORY
625	sound/breeze preceding a rain	sonido/brisa que precede a la lluvia		Semantic field: Animal and nature actions	breeze preceding a rain	The physical world	AUDITORY
626	buzzing (bee, wasp, hummingbird)	zumbido (abeja, avispa, colibrí)		Semantic field: Animal and nature actions	buzzing	Animals	AUDITORY
627	solid object colliding with another solid object	objeto sólido chocando con otro objeto sólido		Semantic field: Sounds of objects being manipulated, breaking, colliding	solid objects colliding	Basic actions and technology	VISUAL, AUDITORY
628	object falling into the fire	objeto cayendo en el fuego		Semantic field: Sounds of objects being manipulated, breaking, colliding	falling into fire	Motion	VISUAL, AUDITORY
629	sound of water dripping, rocks, snails or rattle being moved, also sound of muzzle-loader rifle				dripping sound	Motion	VISUAL, AUDITORY
630	also sound of muzzle-loader rifle	sonido de agua derramándose; mover rocas, caracoles o sonajas; sonido de rifle de avancarga		Semantic field: Sounds of objects being manipulated, breaking, colliding	rifle	Basic actions and technology	AUDITORY, VISUAL
631	different objects crashing on each other	diferentes objetos chocando unos con otros		Semantic field: Sounds of objects being manipulated, breaking, colliding	crashing	Basic actions and technology	VISUAL, AUDITORY
632	sound of palm leaves being pulled out	sonido de hojas de palma siendo arrancadas		Semantic field: Sounds of objects being manipulated, breaking, colliding	pulling out palm leaves	Agriculture and vegetation	AUDITORY
633	poking the fire	atizar el fuego		Semantic field: Sounds of objects being manipulated, breaking, colliding	poking fire	Basic actions and technology	VISUAL
634	dog howling	aullido de perro		Semantic field: Animal voices	dog howling	Animals	AUDITORY
635	dog barking	ladrido de perro		Semantic field: Animal voices	bark	Animals	AUDITORY
636	jaguar’s voice (growling)	sonido de jaguar (gruñido)		Semantic field: Animal voices	jaguar growling	Animals	AUDITORY
637	jaguar roaring	rugido de jaguar		Semantic field: Animal voices	jaguar roaring	Animals	AUDITORY
638	tapir’s voice	sonido del tapir		Semantic field: Animal voices	tapir	Animals	AUDITORY
639	curasow’s calling	canto del paujil (especie de ave)		Semantic field: Animal voices	bird species	Animals	AUDITORY
640	hoatzin’s calling	canto del shansho (especie de ave)		Semantic field: Animal voices	bird species	Animals	AUDITORY
641	rooster crowing	cacareo de gallo		Semantic field: Animal voices	rooster crowing	Animals	AUDITORY
642	sound associated with traveling or going somewhere	sonido asociado con viajar o ir a algún lugar			moving somewhere	Motion	VISUAL
643	movement upwards or upstream	movimiento hacia arriba o río arriba			movement upwards	Motion	VISUAL
644	jumping o landing somewhere suddenly, an object hitting something	saltar o aterrizar en algún lugar súbitamente, un objeto golpeándose contra algo			solid object hitting surface	Motion	VISUAL, AUDITORY
645	giggling	reírse en voz baja			giggling	Emotion and values	AUDITORY
646	laughing loudly	reírse en voz alta			laughing loudly	Emotion and values	AUDITORY
647	snoring	roncar			snore	The body	AUDITORY
648	calling out to another person	llamar a otra persona			calling	Speech and language	AUDITORY
649	noise of falling into water	sonido al caer al agua			fall into water	Motion	AUDITORY
650	sound of killing fish by braking their necks	sonido de matar a un pez rompiéndole el cuello			break neck	Warfare and hunting, Animals	AUDITORY
651	large bird landing	ave grande aterrizando			big bird landing	Animals	AUDITORY, VISUAL
652	noise of a machete hitting or cutting something	sonido del machete al golpear o cortar algo			strike with machete	Basic actions and technology	AUDITORY
653	the bones of a turtle-anklebone oracle knocking against each other	los huesos de un oráculo de tobillo de tortuga chocando entre sí			bones knocking each other	Basic actions and technology, Religion and belief	AUDITORY, VISUAL
654	an object hitting against someone	un objeto golpeando a alguien			object hitting someone	Basic actions and technology	AUDITORY, VISUAL
655	flipping through air	aleteando en el aire		Descrito como "marginally conventionalized sound effect"	flapping in mid air	Animals	VISUAL
656	hitting	golpear		Descrito como "marginally conventionalized sound effect"	hitting	Basic actions and technology	VISUAL, AUDITORY
657	hawk falling	ave cayendo		Descrito como "marginally conventionalized sound effect"	bird falling	Animals	VISUAL
658	thunder rumbling	trueno retumbando			thunder	The physical world	AUDITORY
659	a bird flying away	un ave que se va volando			bird flying away	Animals	VISUAL
660	the eating noise/action of a fish	el sonido o la acción de comer del pez			fish eating	Food and drink	VISUAL, AUDITORY
661	running	correr			running	Motion	VISUAL, AUDITORY
662	rummaging through things while searching	hurgar entre las cosas al buscar algo			rummaging	Basic actions and technology	VISUAL, AUDITORY
663	a spirit falling out of tree	un espíritu cayéndose de un árbol		relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller	falling from tree	Religion and belief, Motion	?
664	a severed head falling to the ground	una cabeza decapitada cayendo al suelo		relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller	falling to the ground	Motion	VISUAL, AUDITORY
665	a woodpecker pecking	un pájaro carpintero picoteando		relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller	woodpecker pecking	Animals	AUDITORY
666	jumping and landing noises	sonidos de saltar y aterrizar		relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller	jumping	Motion	AUDITORY
667	banging noises made by the mythical tapir's attempts to beat off the turtle who had bitten on to his testicles	sonidos de golpes (hechos por un tapir mítico)		relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller	bang	Religion and belief, Animals	AUDITORY
668	sound/action of getting or grabbing something	sonido o acción de agarrar algo		relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller	to grab	Basic actions and technology	VISUAL, AUDITORY
669	sneeze	estornudar			sneeze	The body	AUDITORY
670	dove's call	sonido de la paloma			dove	Animals	AUDITORY
671	sound of coughing	sonido de toser			cough	The body	AUDITORY
672	sound of dog howling	sonido de perro aullando			dog howling	Animals	AUDITORY
673	sound of chicken clucking	sonido de pollo cacareando			clucking	Animals	AUDITORY
674	sound of birds, especially at dawn	sonido de aves, especialmente al atardecer			bird song	Animals	AUDITORY
675	sound of gunea pig or mouse	sonido del cuy o ratón			small rodent	Animals	AUDITORY
676	sound of owl	sonido del búho			owl	Animals	AUDITORY
677	sound made by chicken flying	sonido hecho por el pollo al volar			chicken flying	Animals	AUDITORY
678	sound of slaps	sonido de bofetadas/palmadas			to slap	Basic actions and technology	AUDITORY
679	sound of child or small animal (e.g., a mouse) moving	sonido de un niño o animal pequeño (p. ej., un ratón) moviéndose			small person or animal moving	Motion	VISUAL, AUDITORY
680	sound of dog barking	sonido de perro ladrando			bark	Animals	AUDITORY
681	sound of dog growling	sonido de perro gruñendo			dog growling	Animals	AUDITORY
682	sound of cat purring	sonido de gato ronroneando			purring	Animals	AUDITORY
683	sound of baby crying	sonido de bebé llorando			baby crying	Emotion and values	AUDITORY
684	sarcastic laugh of woman	risa sarcástica de mujer			sarcastic laugh of woman	Emotion and values	AUDITORY
685	sound of horse neighing	sonido de caballo relinchando			neighing	Animals	AUDITORY
686	sound made by rapidly drinking a large quantity of liquid	sonido hecho al beber rápidamente una gran cantidad de líquido			drinking quickly	Food and drink	AUDITORY
687	sound of liquid boiling	sonido de líquido hirviendo			boiling	Food and drink	AUDITORY
688	sounf of cleaning plates	sonido al limpiar platos			washing dishes	Basic actions and technology	AUDITORY, VISUAL
689	sound made by hen laying egg	sonido hecho por una gallina al poner un huevo			lay an egg	Animals	AUDITORY
690	sound of chicken when upset	sonido de un pollo cuando está molesto			upset chicken	Animals	AUDITORY
691	sound of rooster	sonido del gallo			rooster	Animals	AUDITORY
692	sound of squealing door or furniture	sonido de puerta o mueble chirriando			squealing	The house	AUDITORY
693	sound of guinea pig	sonido del cuy			guinea pig	Animals	AUDITORY
694	sound of thunder	sonido del trueno			thunder	The physical world	AUDITORY
695	sound of running	sonido de correr			running	Motion	AUDITORY, VISUAL
696	sound of running fast	sonido al correr rápido			running fast	Motion	AUDITORY, VISUAL
697	sound of frog	sonido de la rana			frog	Animals	AUDITORY
698	sounfd of sheep	sonido de la oveja			sheep	Animals	AUDITORY
699	spund of cat complaining	sonido de un gato quejándose			cat complaining	Animals	AUDITORY
700	sound of goat	sonido de la cabra			goat	Animals	AUDITORY
701	sound of cow	sonido de la vaca			cow	Animals	AUDITORY
702	sound of eating toasted corn or any hard food	sonido de comer maíz tostado o cualquier alimento duro			eating hard food	Food and drink	AUDITORY
703	sound of (accidentally) stepping on potato or other similar object	sonido de pisar (accidentalmente) una papa o un objeto parecido			stepping on soft object	Basic actions and technology	AUDITORY, VISUAL
704	sound of walking intetionally produced by a person	sonido de caminar producido intencionalmente por una persona			walking	Motion	AUDITORY, VISUAL
705	sound of fast walking by a person or animal	sonido de caminar rápido (hecho por una persona o animal)			walking fast	Motion	AUDITORY, VISUAL
706	sound of walking on wet ground	sonido de caminar por suelo mojado			walking on wet ground	Motion	AUDITORY, VISUAL
707	sound produced by walking through a planted field and rubbing against the plants; sound of change rattling in one's pocket	sonido producido al caminar por un campo plantado y rozar con las plantas; sonido del sencillo tintineando en el bolsillo			walking through vegetation	Motion	AUDITORY
708	sound of liquid splashing; sound of rain or of snow	sonido al salpicar agua; sonido de la lluvia o de nieve			liquid splashing	The physical world	AUDITORY
709	sound made by dried corn grains dropped from hand	sonido hecho al dejar caer/soltar granos de maíz secos			corn grains falling	Motion	AUDITORY
710	sound of fireworks, rockets	sonido de fuegos artificiales o cohetes		pronounced rapidly	fireworks	Basic actions and technology	AUDITORY
711	sound of chopping firewood	sonido de cortar leña		long pause between repetitions	chopping firewood	Basic actions and technology	AUDITORY
712	sound of (large) bell	sonido de una campana (grande)			bell	Basic actions and technology	AUDITORY
713	sound of door or furniture creaking	sonido de puerta o mueble chirriando			creaking	The house	AUDITORY
714	sound of blows delivered by strong men fighting	sonido de golpes dados por hombres fuertes luchando			blow in a fight	Warfare and hunting	AUDITORY
715	sound of small bells or metal objects hitting each other	sonidos de campanas pequeñas o de objetos metálicos golpeándose unos con otros			small metallic objects	Basic actions and technology	AUDITORY
716	sound of toasted corn toasting	sonido del maíz tostándose			toasting	Food and drink	AUDITORY
717	sound of pig	sonido del cerdo			pig	Animals	AUDITORY
718	sound made by guinea pig when prognosticating illnes	sonido hecho por el cuy cuando pronostica enfermedades			guinea pig	Animals, Religion and belief	AUDITORY
719	sound of rain, snow or of waterfall	sonido de la lluvia, nieve o cascada			water falling	The physical world	AUDITORY
720	swinging movement of something carried (e.g., one's arm or a baby's head)	movimiento oscilante de algo que uno carga o uno lleva (p. ej., el brazo de uno, o la cabeza de un bebé)			swinging 	Motion	VISUAL
721	sound of crying (person or animal)	sonido de persona o animal llorando			crying	Emotion and values	AUDITORY
722	sound of the wind	sonido del viento		Transcripción: [wɪʃ:]	wind	The physical world	AUDITORY
723	sound of guitar played badly	sonido de una guitarra mal tocada			guitar badly played	Basic actions and technology	AUDITORY
724	sound of mouse	sonido del ratón			mouse	Animals	AUDITORY
725	sound heard in your own ear wich means someone is thinking of you	sonido que se escucha en tu propio oído y que significa alguien esta pensando en ti			sound inside ear	The body, Religion and belief	INTERNAL STATE, AUDITORY
726		empujar leña	empurrar lenha		push firewood	Basic actions and technology	VISUAL
727		relaciones sexuales	intercurso sexual		 sexual intercourse	The body	VISUAL
728		sonido de llegada de avión	som de chegada de avião		airplane arriving	Basic actions and technology	AUDITORY
729		sonido de pájaro	som de pássaro		bird song	Animals	AUDITORY
730		salir del lugar	sair do lugar		to leave	Motion	VISUAL
731		sonido de personas hablando	som de pessoas falando		people talking	Speech and language	AUDITORY
