ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Portuguese,Simplified,SemanticField,SensoryCategory
507,"quickly cutting something hard (e.g., liana)",,,"cortar rapidamente algo duro (p. ej., liana)",,,,Basic actions and technology
508,sound of a small drum,,,sonido de tambor pequeño,,,,Basic actions and technology
509,when someone trips and falls down,,,cuando alguien se tropieza y se cae,,,,Motion
510,sound of sneezing,,,sonido de estornudo,,,,The body
511,sound made by a boa,,,sonido que hace la boa,,,,Animals
512,,,,sonido de pollito,,,,Animals
513,,,,"hacer burbujear, sonar al burbujear en el agua",,,,The physical world
514,,,,"sonido de hundimiento en el agua, de burbujeo",,,,The physical world
515,,,,sonido al caminar,,,,Motion
516,,,,sonido del corte que se asienta,,,,Basic actions and technology
517,,,,sonido de corte,,,,Basic actions and technology
518,,,,"trac, trac, sonido que se produce al cortar",,,,Basic actions and technology
519,,,,sonido pon al caer,,,,Motion
520,,,,sonido de patada,,,,Basic actions and technology
521,,,,sonido al arrojar algo,,,,Motion
522,,,,ruido motor,,,,Basic actions and technology
523,,,,"sonido de un golpe, por ejemplo al cortar palos de leña",,,,Basic actions and technology
524,,,,"shaaa, sonido al derramar cualquier cosa seca como harinas o varios granos en un envase, movimiento de las ramas",,,,Motion
525,,,,sonido al escurrir la flema,,,,The body
526,,,,"sonido de jalar fibras, resbalar algo",,,,Motion
527,,,,sonido que se produce cuando una persona cae al agua,,,,Motion
528,,,,sonido de la corriente de agua y del viento,,,,The physical world
529,,,,sonido de nadar/bañarse,,Transcripción: [tsoopo],,Motion
530,swish,,,silbido (sonido sibilante),,,,Sense perception
531,denotes a very small fish swarming in large numbers,,,denota un pez muy pequeño en su cardumen,,,,Animals
532,the flash of the flying arrow,,,el destellar de una flecha en movimiento,,,,Warfare and hunting
533,twig cracking noise,,,ruido de ramas crujiendo,,,,Agriculture and vegetation
534,voice of the jaguar,,,sonido del jaguar,,,,Animals
535,departing,,,marcharse,,,,Motion
536,licking with tongue,,,lamer con la lengua,,,,The body
537,flaming of fire,,,fuego llameando,,,,The physical world
538,water smashing against boat in rapids,,,agua chocando contra el bote en los rápidos,,,,The physical world
539,climbing,,,trepar,,,,Motion
540,hitting with blunt instrument,,,golpear con instrumento contundente,,,,Basic actions and technology
541,"kicking, hitting something solid (like canoe hitting rock, arrow hitting target)",,,"patear, golpear algo sólido (como la canoa que golpea una roca, la flecha que da en el objetivo)",,,,Basic actions and technology
542,"cessation of action or talk, silence, stopping to look around",,,"dejar de hacer o hablar, silencio, detenerse a mirar",,,,Motion
543,collapsing,,,calapsar,,,,Basic actions and technology
544,touching,,,tocar,,,,Sense perception
545,sitting down,,,sentarse,,,,Basic actions and technology
546,approaching,,,acercarse,,,,Motion
547,"coming out, emerging into the open",,,salir,,,,Motion
548,splitting wood,,,partir madera,,,,Basic actions and technology
549,being hurled through the air,,,ser lanzado por el aire,,,,Motion
550,"breaking (of tooth, bone, etc.)",,,"romperse (un diente, un hueso, etc.)",,,,Basic actions and technology
551,passing through a narrow passage (e.g. trail in forest),,,"pasar por un pasaje estrecho (p. e.j., un camino en el bosque)",,,,Motion
552,sucking by shaman in healing rite,,,succión del chamán en un rito de curación,,,,Religion and belief
553,paddling,,,remar,,,,Basic actions and technology
554,"blowing, breathing out heavily",,,"soplar, exhalar con fuerza",,,,The body
555,buzzing of flies,,,zumbido de moscas,,El último elemento de la reduplicación aparece sin consonante final.,,Animals
556,shooting (shotgun),,,disparar (arma de fuego),,,,Warfare and hunting
557,"giving birth, i.e. child emerging from womb",,,"dar a luz, es decir, emerger el bebé del útero",,,,The body
558,bubbling of water (in river or when boiling),,,burbujeo del agua (del río o al hervirse),,El último elemento de la reduplicación aparece sin consonante final.,,The physical world
559,blowing tobaco smoke,,,soplar humo del tabaco,,,,Basic actions and technology
560,whirring of wings of the hummingbird,,,zumbido de alas del colibrí,,p is a trilled bilabial plosive,,Animals
561,"fast movement, as when chasing someone",,,"movimiento rápido, como cuando se persigue a alguien",,p is a trilled bilabial plosive,,Motion
562,"rising up, climbing out of boat",,,"subir, salirse de un bote",,,,Motion
563,"stepping, walking, running",,,"pisar, caminar, correr",,El último elemento de la reduplicación aparece sin consonante final.,,Motion
564,"sharpening (knife or stone), planing",,,"afilar (cuchillo o piedra), cepillar madera",,,,Basic actions and technology
565,washing (clothes or body),,,lavar (la ropa o el cuerpo),,,,Clothing and grooming
566,"dragging, sliding",,,"arrastrar, deslizarse",,,,Motion
567,pulling in fishing line,,,jalar el hilo de pescar,,,,Basic actions and technology
568,buring a hole in,,,hacer/performar un agujero en,,,,Basic actions and technology
569,burning,,,quemar/arder,,,,Basic actions and technology
570,cutting up flesh,,,cortar carne,,,,Basic actions and technology
571,swimming,,,nadar,,El último elemento de la reduplicación aparece sin consonante final.,,Motion
572,pulling out (e.g. a stick from the ground),,,"sacar jalando (p. ej., un palo del suelo)",,,,Motion
573,shaking loose,,,quitar algo a sacudidas,,El último elemento de la reduplicación aparece sin consonante final.,,Basic actions and technology
574,pushing,,,empujar,,,,Motion
576,cracking open (e.g. Brazil nuts),,,"abrir rompiendo (p. ej., nueces de Brasil)",,,,Basic actions and technology
577,grasping hold of,,,agarrar,,,,Basic actions and technology
578,"standing, reaching up",,,"estar de pie, alcanzar",,,,Basic actions and technology
579,tottering steps,,,pasos vacilantes,,,,Motion
581,"cutting (with scissors, knife, etc.)",,,"cortar (con tijeras, cuchillo, etc.)",,,,Basic actions and technology
582,canoe pulling in to river bank,,,jalar la canoa a la orilla del rio,,,,Basic actions and technology
583,picking fruit from tree,,,sacar fruta de un árbol,,,,"Agriculture and vegetation, Food and drink"
584,piercing,,,perforar,,,,Basic actions and technology
585,hitting and killing (an animal) with a club or the like,,,golpear y matar (a un animal) con un palo o algo parecido,,,,Warfare and hunting
586,shaking the head,,,sacudir la cabeza de lado a lado,,,,"The body, Motion"
587,"falling and collapsing on the ground, eather seated or prostrate",,,"caer y colapsar en el piso, sentado o postrado",,Secuencia de ideófonos,,Motion
588,"falling and going full length (e.g. a tree, or a person tripping on the trail)",,,"caer y quedar horizontal (p. ej., un árbol, o una persona que se tropieza en el camino)",,Secuencia de ideófonos,,Motion
589,falling and hitting the ground (something thrown),,,caer y golpear el piso (algo que es lanzado),,Secuencia de ideófonos,,Motion
590,"climbing, then descending",,,trepar y después bajar,,Secuencia de ideófonos,,Motion
591,grasping hold of something and taking it away,,,agarrar algo y llevárselo,,Secuencia de ideófonos,,Basic actions and technology
592,grasping hold of something and dragging it away,,,agarrar algo y llevárselo arrastrando,,Secuencia de ideófonos,,Basic actions and technology
593,embracing and kissing,,,abrazar y besar,,Secuencia de ideófonos,,Basic actions and technology
594,reaching up and picking fruit from tree,,,alcanzar y sacar una fruta de un árbol,,Secuencia de ideófonos. El último elemento de la reduplicación aparece sin consonante final.,,"Agriculture and vegetation, Food and drink"
595,"(palm tree) falling to ground, pushing and picking it up, then throwing it",,,"(palmera) cayendo al piso, empujándola y levantándola, y luego lanzándola",,Secuencia de ideófonos,,Motion
596,with no breath,,,sin aliento,,Semantic field: Actions/Movements,,The body
597,pulling off a leaf,,,arrancar una hoja,,Semantic field: Actions/Movements,,Agriculture and vegetation
598,hit suddenly (in just one blow),,,golpear de repente,,Semantic field: Actions/Movements,,Basic actions and technology
599,spitting,,,escupir,,Semantic field: Actions/Movements,,The body
600,animal or human pack running,,,grupo de animales o personas corriendo,,Semantic field: Actions/Movements,,"Motion, Quantity"
601,moving without stopping in a reduced area,,,moverse sin detenerse en una área reducida,,Semantic field: Actions/Movements,,Motion
602,"sound of applauding or breaking (ceramics, hard-shell fruits, etc.)",,,"sonido de aplaudir o romper (cerámicas, frutos de cáscara dura, etc.)",,Semantic field: Actions/Movements,,Basic actions and technology
603,"throwing a stone or a small projectile quickly, jump",,,"lanzar una piedra o algo pequeño rápidamente, saltar",,Semantic field: Actions/Movements,,Motion
604,making somenthing disappear quickly,,,hacer que algo desaparezca rápidamente,,Semantic field: Actions/Movements,,Basic actions and technology
605,cutting with machete,,,cortar con machete,,Semantic field: Actions/Movements,,Basic actions and technology
606,grabbing forcefully or suddenly,,,agarrar con fuerza o súbitamente,,Semantic field: Actions/Movements,,Basic actions and technology
607,tearing a piece of cloth,,,desgarrar una tela,,Semantic field: Actions/Movements,,Basic actions and technology
608,driving something (e.g. a spear) into the soil,,,"meter algo (p. ej., una lanza) en el suelo",,Semantic field: Actions/Movements,,Basic actions and technology
609,pulling off a palm leaf,,,arrancar una hoja de palmera,,Semantic field: Actions/Movements,,Agriculture and vegetation
610,"swimming (also applies to fish and other animals like river otter, capibara, etc.)",,,"nadar (también se aplica a peces y otros animales como nutria, capibara, etc.)",,Semantic field: Actions/Movements,,Motion
611,"shinning, blazzing",,,"brillar, resplandecer",,Semantic field: Sensorial (not including sound),,Sense perception
612,smell of blood,,,olor a sangre,,Semantic field: Sensorial (not including sound),,Sense perception
614,pain in some body part or bone,,,dolor en una parte del cuerpo o hueso,,Semantic field: Sensorial (not including sound),,The body
615,sneezing,,,estornudar,,Semantic field: Human or body sounds,,The body
616,farting,,,tirarse un pedo,,Semantic field: Human or body sounds,,The body
617,noise of women or children talking,,,ruido de mujeres o niños hablando,,Semantic field: Human or body sounds,,Speech and language
618,noise of adult man yelling,,,ruido de hombres gritando,,Semantic field: Human or body sounds,,Speech and language
619,noise of adult men talking,,,ruido de hombre hablando,,Semantic field: Human or body sounds,,Speech and language
620,butterfles flying,,,mariposas volando,,Semantic field: Animal and nature actions,,Animals
621,sound of peccaries eating,,,sonido de pecaríes comiendo,,Semantic field: Animal and nature actions,,Animals
622,sound of river waves,,,sonido de olas del río,,Semantic field: Animal and nature actions,,The physical world
623,sound of snake slithering,,,sonido de serpiente deslizándose,,Semantic field: Animal and nature actions,,Animals
624,rocks falling from a cliff,,,rocas cayendo de un acantilado,,Semantic field: Animal and nature actions,,The physical world
625,sound/breeze preceding a rain,,,sonido/brisa que precede a la lluvia,,Semantic field: Animal and nature actions,,The physical world
626,"buzzing (bee, wasp, hummingbird)",,,"zumbido (abeja, avispa, colibrí)",,Semantic field: Animal and nature actions,,Animals
627,solid object colliding with another solid object,,,objeto sólido chocando con otro objeto sólido,,"Semantic field: Sounds of objects being manipulated, breaking, colliding",,Basic actions and technology
628,object falling into the fire,,,objeto cayendo en el fuego,,"Semantic field: Sounds of objects being manipulated, breaking, colliding",,Motion
629,"sound of water dripping, rocks, snails or rattle being moved, also sound of muzzle-loader rifle",,,"sonido de agua derramándose; mover rocas, caracoles o sonajas; sonido de rifle de avancarga",,"Semantic field: Sounds of objects being manipulated, breaking, colliding",,Basic actions and technology
630,different objects crashing on each other,,,diferentes objetos chocando unos con otros,,"Semantic field: Sounds of objects being manipulated, breaking, colliding",,Basic actions and technology
631,sound of palm leaves being pulled out,,,sonido de hojas de palma siendo arrancadas,,"Semantic field: Sounds of objects being manipulated, breaking, colliding",,Agriculture and vegetation
632,poking the fire,,,atizar el fuego,,"Semantic field: Sounds of objects being manipulated, breaking, colliding",,Basic actions and technology
633,dog howling,,,aullido de perro,,Semantic field: Animal voices,,Animals
635,jaguar’s voice (growling),,,sonido de jaguar (gruñido),,Semantic field: Animal voices,,Animals
636,jaguar roaring,,,rugido de jaguar,,Semantic field: Animal voices,,Animals
637,tapir’s voice,,,sonido del tapir,,Semantic field: Animal voices,,Animals
638,curasow’s calling,,,canto del paujil (especie de ave),,Semantic field: Animal voices,,Animals
639,hoatzin’s calling,,,canto del shansho (especie de ave),,Semantic field: Animal voices,,Animals
640,rooster crowing,,,cacareo de gallo,,Semantic field: Animal voices,,Animals
641,sound associated with traveling or going somewhere,,,sonido asociado con viajar o ir a algún lugar,,,,Motion
642,movement upwards or upstream,,,movimiento hacia arriba o río arriba,,,,Motion
643,"jumping o landing somewhere suddenly, an object hitting something",,,"saltar o aterrizar en algún lugar súbitamente, un objeto golpeándose contra algo",,,,Motion
644,giggling,,,reírse en voz baja,,,,Emotion and values
645,laughing loudly,,,reírse en voz alta,,,,Emotion and values
646,snoring,,,roncar,,,,The body
647,calling out to another person,,,llamar a otra persona,,,,Speech and language
648,noise of falling into water,,,sonido al caer al agua,,,,Motion
649,sound of killing fish by braking their necks,,,sonido de matar a un pez rompiéndole el cuello,,,,"Warfare and hunting, Animals"
650,large bird landing,,,ave grande aterrizando,,,,Animals
651,noise of a machete hitting or cutting something,,,sonido del machete al golpear o cortar algo,,,,Basic actions and technology
652,the bones of a turtle-anklebone oracle knocking against each other,,,los huesos de un oráculo de tobillo de tortuga chocando entre sí,,,,Basic actions and technology
653,an object hitting against someone,,,un objeto golpeando a alguien,,,,Basic actions and technology
654,flipping through air,,,aleteando en el aire,,Descrito como marginally conventionalized sound effect,,Animals
656,hawk falling,,,ave cayendo,,Descrito como marginally conventionalized sound effect,,Animals
658,a bird flying away,,,un ave que se va volando,,,,Animals
659,the eating noise/action of a fish,,,el sonido o la acción de comer del pez,,,,Food and drink
660,running,,,correr,,,,Motion
661,rummaging through things while searching,,,hurgar entre las cosas al buscar algo,,,,Basic actions and technology
662,a spirit falling out of tree,,,un espíritu cayéndose de un árbol,,"relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller",,"Religion and belief, Motion"
663,a severed head falling to the ground,,,una cabeza decapitada cayendo al suelo,,"relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller",,Motion
664,a woodpecker pecking,,,un pájaro carpintero picoteando,,"relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller",,Animals
665,jumping and landing noises,,,sonidos de saltar y aterrizar,,"relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller",,Motion
666,banging noises made by the mythical tapir's attempts to beat off the turtle who had bitten on to his testicles,,,sonidos de golpes (hechos por un tapir mítico),,"relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller",,"Religion and belief, Animals"
667,sound/action of getting or grabbing something,,,sonido o acción de agarrar algo,,"relatively non-conventionalized ideophone-like sound effect used in a narrative, probably chosen ad hoc by the storyteller",,Basic actions and technology
669,dove's call,,,sonido de la paloma,,,,Animals
670,sound of coughing,,,sonido de toser,,,,The body
671,sound of dog howling,,,sonido de perro aullando,,,,Animals
672,sound of chicken clucking,,,sonido de pollo cacareando,,,,Animals
673,"sound of birds, especially at dawn",,,"sonido de aves, especialmente al atardecer",,,,Animals
674,sound of gunea pig or mouse,,,sonido del cuy o ratón,,,,Animals
675,sound of owl,,,sonido del búho,,,,Animals
676,sound made by chicken flying,,,sonido hecho por el pollo al volar,,,,Animals
677,sound of slaps,,,sonido de bofetadas/palmadas,,,,Basic actions and technology
678,"sound of child or small animal (e.g., a mouse) moving",,,"sonido de un niño o animal pequeño (p. ej., un ratón) moviéndose",,,,Motion
679,sound of dog barking,,,sonido de perro ladrando,,,,Animals
680,sound of dog growling,,,sonido de perro gruñendo,,,,Animals
681,sound of cat purring,,,sonido de gato ronroneando,,,,Animals
682,sound of baby crying,,,sonido de bebé llorando,,,,Emotion and values
683,sarcastic laugh of woman,,,risa sarcástica de mujer,,,,Emotion and values
684,sound of horse neighing,,,sonido de caballo relinchando,,,,Animals
685,sound made by rapidly drinking a large quantity of liquid,,,sonido hecho al beber rápidamente una gran cantidad de líquido,,,,Food and drink
686,sound of liquid boiling,,,sonido de líquido hirviendo,,,,Food and drink
687,sounf of cleaning plates,,,sonido al limpiar platos,,,,Basic actions and technology
688,sound made by hen laying egg,,,sonido hecho por una gallina al poner un huevo,,,,Animals
689,sound of chicken when upset,,,sonido de un pollo cuando está molesto,,,,Animals
690,sound of rooster,,,sonido del gallo,,,,Animals
691,sound of squealing door or furniture,,,sonido de puerta o mueble chirriando,,,,The house
692,sound of guinea pig,,,sonido del cuy,,,,Animals
693,sound of thunder,,,sonido del trueno,,,,The physical world
694,sound of running,,,sonido de correr,,,,Motion
695,sound of running fast,,,sonido al correr rápido,,,,Motion
696,sound of frog,,,sonido de la rana,,,,Animals
697,sounfd of sheep,,,sonido de la oveja,,,,Animals
698,spund of cat complaining,,,sonido de un gato quejándose,,,,Animals
699,sound of goat,,,sonido de la cabra,,,,Animals
700,sound of cow,,,sonido de la vaca,,,,Animals
701,sound of eating toasted corn or any hard food,,,sonido de comer maíz tostado o cualquier alimento duro,,,,Food and drink
702,sound of (accidentally) stepping on potato or other similar object,,,sonido de pisar (accidentalmente) una papa o un objeto parecido,,,,Basic actions and technology
703,sound of walking intetionally produced by a person,,,sonido de caminar producido intencionalmente por una persona,,,,Motion
704,sound of fast walking by a person or animal,,,sonido de caminar rápido (hecho por una persona o animal),,,,Motion
705,sound of walking on wet ground,,,sonido de caminar por suelo mojado,,,,Motion
706,sound produced by walking through a planted field and rubbing against the plants; sound of change rattling in one's pocket,,,sonido producido al caminar por un campo plantado y rozar con las plantas; sonido del sencillo tintineando en el bolsillo,,,,Motion
707,sound of liquid splashing; sound of rain or of snow,,,sonido al salpicar agua; sonido de la lluvia o de nieve,,,,The physical world
708,sound made by dried corn grains dropped from hand,,,sonido hecho al dejar caer/soltar granos de maíz secos,,,,Motion
709,"sound of fireworks, rockets",,,sonido de fuegos artificiales o cohetes,,pronounced rapidly,,Basic actions and technology
710,sound of chopping firewood,,,sonido de cortar leña,,long pause between repetitions,,Basic actions and technology
711,sound of (large) bell,,,sonido de una campana (grande),,,,Basic actions and technology
712,sound of door or furniture creaking,,,sonido de puerta o mueble chirriando,,,,The house
713,sound of blows delivered by strong men fighting,,,sonido de golpes dados por hombres fuertes luchando,,,,Warfare and hunting
714,sound of small bells or metal objects hitting each other,,,sonidos de campanas pequeñas o de objetos metálicos golpeándose unos con otros,,,,Basic actions and technology
715,sound of toasted corn toasting,,,sonido del maíz tostándose,,,,Food and drink
716,sound of pig,,,sonido del cerdo,,,,Animals
717,sound made by guinea pig when prognosticating illnes,,,sonido hecho por el cuy cuando pronostica enfermedades,,,,Animals
718,"sound of rain, snow or of waterfall",,,"sonido de la lluvia, nieve o cascada",,,,The physical world
719,"swinging movement of something carried (e.g., one's arm or a baby's head)",,,"movimiento oscilante de algo que uno carga o uno lleva (p. ej., el brazo de uno, o la cabeza de un bebé)",,,,Motion
720,sound of crying (person or animal),,,sonido de persona o animal llorando,,,,Emotion and values
721,sound of the wind,,,sonido del viento,,Transcripción: [wɪʃ:],,The physical world
722,sound of guitar played badly,,,sonido de una guitarra mal tocada,,,,Basic actions and technology
723,sound of mouse,,,sonido del ratón,,,,Animals
724,sound heard in your own ear wich means someone is thinking of you,,,sonido que se escucha en tu propio oído y que significa alguien esta pensando en ti,,,,The body
725,,,,empujar leña,empurrar lenha,,,Basic actions and technology
726,,,,relaciones sexuales,intercurso sexual,,,The body
727,,,,sonido de llegada de avión,som de chegada de avião,,,Basic actions and technology
728,,,,sonido de pájaro,som de pássaro,,,Animals
729,,,,salir del lugar,sair do lugar,,,Motion
730,,,,sonido de personas hablando,som de pessoas falando,,,Speech and language
731,,,,comer sopa,comer sopa,,,Food and drink
732,,,,caer/entrar/meterse al agua,bater n'água,,,Motion
733,,,,beber,bebendo,,,Food and drink
735,,,,sonido de respiración,som de respiração,,,The body
737,,,,esperar,esperar,,,OTHER
738,,,,sonido de fuego,som de fogo,,,The physical world
739,,,,sonido de mono capuchino,som do macaco-prego,,,Animals
740,,,,sonido para llamar a inambú (especie de ave),som para chamar inambu,,,Animals
741,,,,"sonido de un pájaro cantando, correr","som de um pássaro cantando, correndo",,,Animals
742,,,,"salir, dejar","sair, deixar",,,Motion
744,,,,"viajar, correr","viajar, correr",,,Motion
746,,,,gritar,gritando,,,Speech and language
747,,,,sonido de pájaro kyhỹn,som do pássaro kyhỹn,,,Animals
748,,,,rugido de jaguar,grito de onça,,,Animals
749,,,,flecha volando,flecha voando,,,Warfare and hunting
750,,,,pisotear,conculcar,,,Basic actions and technology
751,,,,recoger con la mano,pegar com a mão,,,Basic actions and technology
752,,,,caminar en zigzag,andar ziguezagueando,,,Motion
753,,,,sonido de trompetero (tipo de ave),som do pássaro jacamim,,,Animals
754,,,,sonido de mono llorando/chillando,som de macaco chorando,,,Animals
755,,,,cortar un poco,cortar um pouco,,,Basic actions and technology
756,,,,sonido de sumergirse/zambullirse,som de mergulhar,,,Motion
757,,,,abrir caña seca (sacar tiras para tejer),abrir palha,,,Agriculture and vegetation
758,,,,eyaculación sexual,ejaculação sexual,,,The body
759,,,,"¿enviar/arremeter?, rascar","remeter, coçar",,,Basic actions and technology
761,,,,silencioso,silencioso,,,Sense perception
762,,,,"subir, entrar en vehículo","subir, entrar em veículo",,,Basic actions and technology
763,,,,frotar/fregar,esfregar,,,Basic actions and technology
765,,,,"sonido de tejer cesta, ¡psst!","som de tecer cesta, psiu","Como pronombre, significa a você (a ti), ¿relación con el sentido ¡psst!?",,Basic actions and technology
766,,,,sonido de inambú (especie de ave),som de inambu,,,Animals
767,,,,entrar en los matorrales/arbustos,entrar no mato,,,"Agriculture and vegetation, Motion"
768,,,,demorar,demorar,,,OTHER
769,,,,¿terminar?,aprontar,"Como adverbio, significa já (ya).",,Time
770,,,,sonido de fuego prendiéndose en el cuerpo,som de fogo pegando no corpo,,,Basic actions and technology
771,,,,lanzar,jogar,,,Motion
772,,,,abrir caña (sacar tiras de caña para tejer),abrir palha,,,Agriculture and vegetation
773,,,,dar a todos,dar para todos,,,Basic actions and technology
775,,,,sonido de canto de tucán,som do tucano cantando,,,Animals
776,,,,detenerse,parar,,,Motion
777,,,,frotar una herida,esfregar uma ferida,,,The body
778,,,,gotear,pingar,,,The physical world
779,,,,"sentarse, bajar la cabeza","sentar, abaixar a cabeça",,,Basic actions and technology
780,,,,personas hablando,pessoas falando,,,Speech and language
782,,,,sonido de pájaro como el de la hembra de inambú (especie de ave),som do pássaro tipo inambu galinha,,,Animals
783,,,,saltar,pular,,,Basic actions and technology
784,,,,romper maleza/arbustos,quebrar mato,,,Agriculture and vegetation
785,,,,sonido de romper caña,som de quebrar palha,,,Agriculture and vegetation
786,,,,flecha que no se disparó,flecha não atirada,,,Warfare and hunting
787,,,,sonido de flecha,som de flecha,,,Warfare and hunting
788,,,,sonido de flecha pasando por el suelo,som de flecha que passa no chão,,,Warfare and hunting
789,,,,sonido de una flecha que no se disparó,som de flecha que não disparou,,,Warfare and hunting
790,,,,sonido de flecha entrando con fuerza,som de flecha entrando com força,,,Warfare and hunting
791,,,,"dejar, soltar, caer","deixar, soltar, cair",,,Motion
792,,,,romper caña,quebrar palha,,,Agriculture and vegetation
793,,,,caerse,cair,,,Motion
794,,,,sonido de ¿pájaro dorado?,som do pássaro tipo oro,,,Animals
795,,,,señal para llamar a paujil (especie de ave),sinal para chamar mutum,,,Animals
796,,,,sonido de pájaro opoktioky,som do pássaro tipo opoktioky,,,Animals
797,,,,sonido de sangre saliendo del cuerpo,som de sangue saindo do corpo,,,The body
798,,,,golpear con hojas,bater com folhas,,,Agriculture and vegetation
799,,,,sonido de ave volando,som de pássaro voando,,,Animals
800,,,,disparar con flecha,atirar com flecha,,,Warfare and hunting
802,,,,hablar en voz baja,falar baixo,,,Speech and language
803,,,,sonido de lluvia ligera,som de chuva leve,,,The physical world
804,,,,"levantar algo, elevar algo",levantar,,,Motion
805,,,,arrancar,arrancar,,,Basic actions and technology
806,,,,cortar caña,cortar palha,,,Agriculture and vegetation
807,,,,caminar,andar,,,Motion
808,,,,sonido de cortar caña,som de cortar palha,,,Agriculture and vegetation
809,,,,sonido del mono sogisogi,som de macaco sogisogi,,,Animals
810,,,,"contacto físico, llegada apresurada, envío","contato físico, chegada com pressa, enviou",,,Motion
811,,,,mirar,olhar,,,Sense perception
812,,,,juntar,ajuntar,,,Quantity
813,,,,"sacar, jalar","tirar, puxar",,,Basic actions and technology
814,,,,marchar,marchando,,,Motion
815,,,,jalar/arrastrar/¿cargar? cañas sobre la espalda,puxar palha nas costas,,,Agriculture and vegetation
816,,,,sonido de ave calva (¿loro calvo?),som de careca (ave),,,Animals
817,,,,dormir,dormir,,,The body
818,,,,jalar/arrastrar cañas con las manos,puxar palha com as mãos,,,Agriculture and vegetation
819,,,,correr,correr,,,Motion
820,,,,colocar cañas/pajas en el techo,colocar palha no teto,,,The house
821,,,,agarrar,pegar,,,Basic actions and technology
822,,,,sonido de flauta,som de flauta,,,Basic actions and technology
823,,,,"llegar, trabajar","chegar, trabalhar",,,Motion
825,,,,sonido que se hace al entrar,som que se faz ao entrar,,,Motion
826,,,,golpear,bater,,,Basic actions and technology
827,,,,sonido de motor,som do motor,,,Basic actions and technology
829,noise of eating,,,ruido al comer,,,,Food and drink
830,light match,,,encender un fósforo,,,,Basic actions and technology
831,walk fast,,,caminar rápido,,,,Motion
832,crush (in mortar),,,chancar (en mortero),,,,Basic actions and technology
834,poke (without tip),,,pinchar/hincar (con objeto no puntiagudo),,,,Basic actions and technology
835,"light (paper, fire)",,,"encender (papel, fuego)",,,,Basic actions and technology
837,blow baby's nose,,,sonar la nariz de un bebé,,,,The body
838,shout,,,gritar,,,,Speech and language
839,call (someone by 'ssss'),,,llamar (a alguien con 'ssss'),,,,Speech and language
840,kill prey and it stays quiet,,,matar una presa y esta se queda en silencio,,,,"Warfare and hunting, Animals"
841,hold,,,sostener,,,,Basic actions and technology
842,brake [sic],,,frenar (¿romper?),,,,OTHER
843,sing,,,cantar,,,,Speech and language
844,shoot arrow,,,disparar flecha,,,,Warfare and hunting
845,chew,,,masticar,,,,"Food and drink, The body"
847,get in (smoothly),,,"entrar (suavemente, fácilmente)",,,,Basic actions and technology
848,poke hole with arrow,,,hacer un hueco con flecha,,,,Basic actions and technology
850,throw sand,,,lanzar arena,,,,Basic actions and technology
852,throw (stone at house),,,lanzar (piedra a una casa),,,,Motion
853,turn,,,voltear,,,,Basic actions and technology
854,"pull (hair, feather)",,,"jalar (pelo, pluma)",,,,Basic actions and technology
855,swallow (liquid),,,tragar (líquido),,,,"The body, Food and drink"
856,pull with (fishing) line,,,jalar con hilo (de pescar),,,,Basic actions and technology
858,slap (to kill insects on the body),,,dar palmadas (para matar insectos en el cuerpo),,,,The body
859,tie up,,,amarrar,,,,Basic actions and technology
860,thresh,,,trillar (¿desgranar?),,,,OTHER
861,beat,,,golpear,,,,Basic actions and technology
862,"beat (with stick, hand)",,,"golpear (con palo, mano)",,,,Basic actions and technology
864,look,,,mirar,,,,Sense perception
865,touch/shuffle (things),,,tocar/revolver (cosas),,,,Basic actions and technology
866,pinch,,,pellizcar,,,,Basic actions and technology
867,nod,,,asentir,,,,"The body, Motion"
868,drill,,,"perforar, taladrar",,,,Basic actions and technology
869,bite,,,morder,,,,The body
870,poke (with tip),,,pinchar/hincar (con objeto puntiagudo),,,,Basic actions and technology
871,thunder noise,,,sonido del trueno,,,,The physical world
874,dive,,,bucear,,,,Motion
875,fall (heavy object),,,caer (objeto pesado),,,,Motion
876,poke hole,,,hacer un hueco,,,,Basic actions and technology
877,fall down,,,caer,,,,Motion
878,fall (tree),,,caer (árbol),,,,"Agriculture and vegetation, Motion"
879,fall,,,caer,,,,Motion
880,fall (light object),,,caer (objeto liviano),,,,Motion
881,climb down,,,bajar (trepar hacia abajo),,,,Motion
883,perforate somebody with arrow,,,perforar a alguien con una flecha,,,,Warfare and hunting
885,stick,,,pegarse/adherirse,,,,Basic actions and technology
886,get in,,,entrar,,,,Motion
887,blow (at fire),,,soplar (al fuego),,,,Basic actions and technology
889,blow,,,soplar,,,,Basic actions and technology
890,climb up,,,trepar (hacia arriba),,,,Motion
891,"punch, step with the heel",,,"golpear, pisar con el talón/tacón",,,,Basic actions and technology
893,beat (finger on table),,,dar golpes con el dedo en una mesa,,,,Basic actions and technology
894,cut (wood),,,cortar (madera),,,,Basic actions and technology
895,pull (strongly),,,jalar (con fuerza),,,,Basic actions and technology
